"Dans la Leçon 1, quel hiéroglyphe numérique égyptien représente l'unité (1) ?","Le bâton vertical (|), qui symbolise un doigt ou ""l'homme debout""."
"Dans la numération égyptienne, le symbole de l'anse de panier (∩) représente quel nombre ?",Le nombre 10 (une dizaine).
Comment le symbole de la dizaine (∩) est-il formé conceptuellement dans la Leçon 1 ?,En liant symboliquement 10 bâtons (unités) ensemble avec une corde qui forme une anse.
"Quel est le concept mathématique clé derrière le fait de grouper 10 unités pour former une dizaine, comme le faisaient les Égyptiens ?","Le système décimal, ou le principe de ""paqueter"" pour pouvoir compter de grands nombres."
Comment un scribe égyptien lirait-il la séquence ∩∩ ||| ?,"Comme 2 paquets de dix et 3 unités, soit le nombre 23."
Décodez le nombre égyptien suivant en chiffres modernes : ∩∩∩ ||||.,34.
Comment écririez-vous le nombre 42 en utilisant les hiéroglyphes numériques du bâton et de l'anse ?,∩∩∩∩ ||.
"À quel niveau scolaire la leçon ""L'Architecture des Nombres"" est-elle destinée ?",CP (Cours Préparatoire).
"L'émotion cible de la leçon sur la numération égyptienne est _____, devant la logique simple de l'écriture.",l'émerveillement
Quel est l'outil principal utilisé dans la Leçon 2 pour construire des angles droits ?,La Corde à 13 Nœuds.
Combien d'intervalles de même longueur une corde à 13 nœuds comporte-t-elle ?,12 intervalles.
"Pour former un triangle rectangle avec la corde à 13 nœuds, quelles doivent être les longueurs des trois côtés en nombre d'intervalles ?","Un côté de 3 intervalles, un côté de 4 intervalles et un côté de 5 intervalles."
"Dans le triangle 3-4-5 formé par la corde, quel angle spécial est obligatoirement créé ?",Un angle droit parfait.
La connaissance permettant de créer un angle droit avec un triangle 3-4-5 est une application ancienne de quel théorème mathématique célèbre ?,Le théorème de Pythagore.
"Quelle déesse égyptienne, maîtresse de l'architecture et des mathématiques, est associée à la Leçon 2 ?","Seshat, la dame des bâtisseurs."
"Quelles formes géométriques, parmi un carré, un rectangle et un triangle quelconque, nécessitent l'usage de la corde à 13 nœuds pour être construites solidement ?","Le carré et le rectangle, car ils possèdent des angles droits."
"À quel niveau scolaire la leçon ""Le Secret de la Corde à 13 Nœuds"" est-elle destinée ?",CE1.
Quelle émotion la Leçon 2 sur la géométrie cherche-t-elle à inspirer chez l'élève ?,La confiance en sa capacité à construire le monde avec précision.
Quel symbole égyptien est utilisé dans la Leçon 3 pour enseigner les fractions ?,L'Œil d'Horus (Oudjat).
"Selon le mythe, qui a rassemblé les morceaux de l'œil d'Horus après qu'il a été brisé ?","Thot (Tehuti), le dieu des mathématiques."
"Dans le système de fractions de l'Œil d'Horus, quelle fraction représente la partie droite de l'œil (le blanc) ?",1/2 (la moitié).
"Dans le système de fractions de l'Œil d'Horus, quelle fraction est représentée par la pupille (le rond) ?",1/4 (le quart).
Quelle fraction est associée au sourcil dans le puzzle de l'Œil d'Horus ?,1/8.
Le système de division utilisé pour les fractions de l'Œil d'Horus est une division de type _____.,binaire
"En additionnant toutes les fractions de l'Œil d'Horus (1/2 + 1/4 + 1/8 + ...), on obtient une somme qui est _____, le morceau manquant représentant la magie ou l'infini.",presque 1
Quelle est la règle concernant la taille d'une fraction par rapport à son dénominateur (le chiffre du bas) ?,"Plus le dénominateur est grand, plus le morceau est petit."
"Dans l'exercice du pharmacien, quelle quantité est la plus grande : 1/2 tasse d'eau ou 1/4 de tasse de miel ?",1/2 tasse d'eau.
"Dans une barre de chocolat de 8 carrés, combien de carrés représentent 1/2 de la barre ?",4 carrés.
"Dans une barre de chocolat de 8 carrés, combien de carrés représentent 1/4 de la barre ?",2 carrés.
"Si on mange 1/2 puis 1/4 d'une barre de 8 carrés, combien de carrés a-t-on mangé au total ?",6 carrés (4 + 2).
"À quel niveau scolaire la leçon ""L'Œil d'Horus : Le Puzzle de l'Infini"" est-elle destinée ?",CE2.
Quelle émotion la Leçon 3 sur les fractions cherche-t-elle à développer chez l'élève ?,La fierté de posséder une précision divine.